"Var1","Var2","r","p","Significance"
"CD56-CD16+","CD25",-0.1,0.5,""
"CD56bright","CD25",0.44,0.0024,"**"
"CD56dimCD16+/CD57","CD25",0.11,0.45,""
"MIP-1B","CD25",0.39,0.0081,"**"
"NKG2A","CD25",0.35,0.018,"*"
"NKG2C","CD25",-0.09,0.57,""
"NKG2D","CD25",0.2,0.19,""
"NKp30","CD25",0.1,0.51,""
"Perforin","CD25",-0.23,0.12,""
"Siglec-7","CD25",0.18,0.23,""
"TIGIT","CD25",0.16,0.27,""
"TNFa","CD25",0.3,0.046,"*"
"CD107a-","CD25",-0.52,0.00021,"***"
"Granzyme B-","CD25",0.33,0.026,"*"
"NKG2A-","CD25",-0.35,0.018,"*"
"NKG2C-","CD25",0.09,0.57,""
"NKG2D-","CD25",-0.2,0.19,""
"Perforin-","CD25",0.23,0.12,""
"CD107a+Granzyme B+Perforin+","CD25",0.53,0.00015,"***"
"CD107a-Granzyme B+Perforin+","CD25",-0.54,9.2e-05,"***"
"CD107a-Granzyme B+Perforin-","CD25",0.15,0.31,""
"CD107a-Granzyme B-Perforin+","CD25",0.29,0.047,"*"
"NKG2A+NKG2C-NKG2D+","CD25",0.34,0.02,"*"
"CD56bright","CD56-CD16+",0.07,0.64,""
"CD56dimCD16+/CD57","CD56-CD16+",-0.11,0.49,""
"MIP-1B","CD56-CD16+",0.31,0.036,"*"
"NKG2A","CD56-CD16+",-0.06,0.67,""
"NKG2C","CD56-CD16+",0.05,0.73,""
"NKG2D","CD56-CD16+",-0.06,0.68,""
"NKp30","CD56-CD16+",-0.36,0.014,"*"
"Perforin","CD56-CD16+",-0.2,0.19,""
"Siglec-7","CD56-CD16+",-0.39,0.0075,"**"
"TIGIT","CD56-CD16+",-0.08,0.58,""
"TNFa","CD56-CD16+",0.22,0.14,""
"CD107a-","CD56-CD16+",-0.2,0.18,""
"Granzyme B-","CD56-CD16+",0.27,0.064,""
"NKG2A-","CD56-CD16+",0.06,0.67,""
"NKG2C-","CD56-CD16+",-0.05,0.73,""
"NKG2D-","CD56-CD16+",0.06,0.67,""
"Perforin-","CD56-CD16+",0.19,0.21,""
"CD107a+Granzyme B+Perforin+","CD56-CD16+",0.15,0.33,""
"CD107a-Granzyme B+Perforin+","CD56-CD16+",-0.25,0.096,""
"CD107a-Granzyme B+Perforin-","CD56-CD16+",0.15,0.32,""
"CD107a-Granzyme B-Perforin+","CD56-CD16+",0.28,0.058,""
"NKG2A+NKG2C-NKG2D+","CD56-CD16+",-0.05,0.75,""
"CD56dimCD16+/CD57","CD56bright",-0.14,0.37,""
"MIP-1B","CD56bright",0.25,0.093,""
"NKG2A","CD56bright",0.1,0.49,""
"NKG2C","CD56bright",0.18,0.23,""
"NKG2D","CD56bright",-0.3,0.046,"*"
"NKp30","CD56bright",0.16,0.28,""
"Perforin","CD56bright",-0.51,0.00029,"***"
"Siglec-7","CD56bright",0.03,0.86,""
"TIGIT","CD56bright",0.28,0.059,""
"TNFa","CD56bright",0.07,0.65,""
"CD107a-","CD56bright",-0.39,0.0079,"**"
"Granzyme B-","CD56bright",0.28,0.061,""
"NKG2A-","CD56bright",-0.1,0.5,""
"NKG2C-","CD56bright",-0.18,0.23,""
"NKG2D-","CD56bright",0.3,0.044,"*"
"Perforin-","CD56bright",0.52,0.00021,"***"
"CD107a+Granzyme B+Perforin+","CD56bright",0.33,0.025,"*"
"CD107a-Granzyme B+Perforin+","CD56bright",-0.45,0.0018,"**"
"CD107a-Granzyme B+Perforin-","CD56bright",0.42,0.004,"**"
"CD107a-Granzyme B-Perforin+","CD56bright",0.27,0.066,""
"NKG2A+NKG2C-NKG2D+","CD56bright",0.08,0.61,""
"MIP-1B","CD56dimCD16+/CD57",0.05,0.75,""
"NKG2A","CD56dimCD16+/CD57",0.08,0.61,""
"NKG2C","CD56dimCD16+/CD57",0.47,0.0011,"**"
"NKG2D","CD56dimCD16+/CD57",0.23,0.12,""
"NKp30","CD56dimCD16+/CD57",-0.4,0.0063,"**"
"Perforin","CD56dimCD16+/CD57",0.2,0.18,""
"Siglec-7","CD56dimCD16+/CD57",-0.29,0.049,"*"
"TIGIT","CD56dimCD16+/CD57",-0.13,0.4,""
"TNFa","CD56dimCD16+/CD57",0.3,0.044,"*"
"CD107a-","CD56dimCD16+/CD57",-0.2,0.18,""
"Granzyme B-","CD56dimCD16+/CD57",-0.14,0.36,""
"NKG2A-","CD56dimCD16+/CD57",-0.08,0.61,""
