"marker_cluster","kw_p_value","vs_CEM_HUT78","vs_CEM_K562","vs_CEM_Untreated","vs_HUT78_K562","vs_HUT78_Untreated","vs_K562_Untreated"
"NKG2A_Cluster1",0.8446665380495,0.877480145376228,0.877480145376228,0.877480145376228,0.877480145376228,0.877480145376228,0.877480145376228
"NKG2A_Cluster2",0.897554463547408,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745
"NKG2A_Cluster3",0.738129914844289,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929
"Granzyme B_Cluster1",0.957837841071734,1,1,1,1,1,1
"Granzyme B_Cluster2",0.123794197288286,0.170878090366581,0.945946117068745,0.170878090366581,0.170878090366581,0.945946117068745,0.170878090366581
"Granzyme B_Cluster3",0.87539115006954,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372
"TNF-a_Cluster1",0.632219237958361,0.771909592628397,0.752189567410997,0.926298657594929,0.752189567410997,0.771909592628397,0.752189567410997
"TNF-a_Cluster2",0.951381841389433,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372
"TNF-a_Cluster3",0.959858188717191,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832
"IFN-g_Cluster1",0.641960945987739,0.857129716875308,0.857129716875308,0.874287053239806,0.857129716875308,0.874287053239806,0.857129716875308
"IFN-g_Cluster2",0.944440752145972,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745
"IFN-g_Cluster3",0.945533398124751,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372
"NKG2C_Cluster1",0.95353711915552,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745
"NKG2C_Cluster2",0.992457426405136,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832
"NKG2C_Cluster3",0.988192311601225,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372
"CD56_Cluster1",0.976234405411437,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745,0.945946117068745
"CD56_Cluster2",0.849748752458505,0.83879047576315,0.83879047576315,0.83879047576315,0.83879047576315,0.83879047576315,0.83879047576315
"CD56_Cluster3",0.982900342698342,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372
"KLRG1_Cluster1",0.911447003003817,1,1,1,1,1,1
"KLRG1_Cluster2",0.967533456317057,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372
"KLRG1_Cluster3",0.97923120574901,1,1,1,1,1,1
"CD25_Cluster1",0.35854863784277,0.538082942767288,0.564142175558248,0.97541085916372,0.800797355708111,0.538082942767288,0.564142175558248
"CD25_Cluster2",0.00361012775470861,0.0109937713383668,0.45810766162092,0.97541085916372,0.00888933758095153,0.00888933758095153,0.545325615829856
"CD25_Cluster3",0.821026692966687,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929
"CD57_Cluster1",0.940682802659105,0.910025874575612,0.910025874575612,0.910025874575612,0.910025874575612,0.910025874575612,0.910025874575612
"CD57_Cluster2",0.932571280556652,0.910025874575612,0.910025874575612,0.910025874575612,0.910025874575612,0.910025874575612,0.910025874575612
"CD57_Cluster3",0.811260923346619,0.803612768779009,0.803612768779009,0.803612768779009,0.803612768779009,0.803612768779009,0.803612768779009
"CD16_Cluster1",0.0475188747637473,0.105134981528843,0.124352965650583,0.926298657594929,0.578880902170174,0.105134981528843,0.205602743004143
"CD16_Cluster2",0.686262762653402,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372,0.97541085916372
"CD16_Cluster3",0.137925105940416,0.269041471383644,0.269041471383644,0.619352659724177,0.910025874575612,0.269041471383644,0.269041471383644
"CD122_Cluster1",0.935781887256996,0.964335322534811,0.964335322534811,0.964335322534811,0.964335322534811,0.981968711206832,0.964335322534811
"CD122_Cluster2",0.907424257060802,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832
"CD122_Cluster3",0.96339445948847,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832
"Ki-67_Cluster1",0.613473097119664,0.835615952226532,0.752189567410997,0.97541085916372,0.97541085916372,0.752189567410997,0.752189567410997
"Ki-67_Cluster2",0.837466261390063,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832,0.981968711206832
"Ki-67_Cluster3",0.758428638896156,0.881164967755357,0.881164967755357,0.881164967755357,0.910025874575612,0.881164967755357,0.881164967755357
"NKp46_Cluster1",0.863579170818341,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929
"NKp46_Cluster2",0.490276950845032,0.564142175558248,0.564142175558248,0.57204811610519,0.667331129756759,0.564142175558248,0.564142175558248
"NKp46_Cluster3",0.779871494790535,0.829075245658904,0.829075245658904,0.829075245658904,0.829075245658904,0.829075245658904,0.829075245658904
"NKp30_Cluster1",0.961740122401714,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929,0.926298657594929
